,Open,High,Close
226,166.11,169.0,166.44
227,163.25,166.15,165.25
228,156.25,158.13,154.68
229,155.79,156.33,156.3
230,155.48,158.13,157.76
231,154.11,154.48,152.7
232,154.15,155.14,153.92
233,156.41,156.73,153.3
234,157.5,157.88,156.82
235,154.2,157.66,155.86
236,153.08,155.88,154.94
237,150.27,153.39,153.07
238,150.85,151.27,150.0
239,152.88,153.7,152.29
240,152.5,153.97,153.8
241,151.29,154.53,153.31
242,149.56,151.82,150.75
243,148.7,148.83,147.93
244,144.53,148.5499,148.26
245,143.98,145.72,142.19
246,154.89,158.85,157.92
247,158.53,159.36,157.74
248,157.5,158.52,156.23
249,155.84,156.77,156.15
250,148.3,157.23,157.17
251,148.15,151.55,146.83
252,156.86,158.16,150.73
253,160.4,162.11,156.83
254,166.0,167.45,160.89
255,165.38,167.53,166.07
256,165.45,168.35,163.94
257,169.0,169.08,165.48
258,170.49,172.57,170.95
259,170.4,171.92,169.1
260,171.66,171.79,168.63
261,165.0,170.09,169.6
262,173.49,174.49,168.49
263,171.76,174.78,174.72
264,180.95,182.3899,176.69
265,184.46,184.94,184.82
266,180.29,180.33,178.58
267,182.66,182.8,179.55
268,176.73,181.29,180.94
269,171.51,174.77,174.24
270,174.24,174.95,174.62
271,174.94,176.595,172.29
272,179.73,180.27,176.78
273,178.37,181.47,176.98
274,190.0,190.7,185.86
275,190.5,194.9695,193.53
276,188.39,191.97,191.41
277,193.9,194.48,186.8
278,191.63,197.18,192.23
279,199.0,199.85,194.17
280,205.55,206.01,204.47
281,209.98,210.12,208.49
282,205.97,210.06,209.95
283,201.92,204.72,203.77
284,204.3,204.39,201.59
285,209.55,213.65,207.48
286,219.05,222.36,222.22
287,216.88,220.45,218.86
288,211.15,215.18,213.3
289,219.19,219.69,212.24
290,215.9,220.19,216.3
291,217.71,221.38,219.8
292,222.6,224.23,215.09
293,215.83,223.25,222.73
294,219.79,223.36,220.65
295,218.06,221.26,219.31
296,217.86,219.74,216.02
297,222.3,222.64,221.19
298,218.93,222.99,222.15
299,221.16,221.83,217.36
300,220.42,222.88,222.11
301,214.52,219.5,214.45
302,225.46,226.35,216.36
303,223.64,227.27,226.87
304,222.21,224.8,223.77
305,227.96,228.41,224.29
306,230.78,232.35,227.99
307,230.05,233.47,232.07
308,227.25,230.0,229.28
309,227.95,229.42,227.26
310,224.79,225.84,225.74
311,223.82,226.44,224.95
312,221.0,223.75,220.42
313,219.75,222.82,222.19
314,216.82,221.26,220.79
315,220.78,221.36,217.66
316,220.24,222.28,220.03
317,218.5,219.62,218.37
318,217.79,221.85,218.24
319,222.15,222.95,217.88
320,225.75,226.84,223.84
321,223.52,228.35,226.41
322,224.94,225.0,221.07
323,218.01,224.299,223.85
324,220.95,221.85,218.33
325,221.85,225.37,221.3
326,226.23,227.35,223.1
327,228.99,229.67,226.87
328,228.41,229.18,228.36
329,226.51,228.87,227.63
330,223.25,228.26,225.03
331,220.15,223.49,222.98
332,219.01,220.54,219.7
333,217.15,218.74,217.94
334,216.6,216.9,216.16
335,214.65,217.05,215.49
336,214.1,216.36,215.05
337,216.8,217.19,215.04
338,218.1,219.18,215.46
339,213.44,217.95,217.58
340,211.75,213.8121,213.32
341,209.22,210.74,210.24
342,210.155,210.56,209.75
343,207.7,210.952,208.87
344,207.36,209.1,207.53
345,207.28,209.78,208.88
346,206.05,207.81,207.25
347,209.32,209.5,207.11
348,208.0,209.25,209.07
349,207.03,208.74,207.99
350,200.58,208.38,207.39
351,199.13,201.76,201.5
352,190.3,192.14,190.29
353,191.9,192.2,189.91
354,194.99,195.19,190.98
355,194.61,195.96,194.21
356,193.0602,194.85,194.82
357,192.45,193.6601,193.0
358,190.68,191.96,191.61
359,191.78,192.43,191.44
360,189.69,192.55,191.88
361,191.78,191.8,190.4
362,189.75,191.87,191.45
363,191.52,192.65,190.91
364,191.08,191.84,191.33
365,189.53,191.41,191.03
366,188.5,189.7799,187.88
367,190.71,191.28,190.35
368,189.5,190.68,190.58
369,185.42,188.43400000000003,187.97
370,185.26,186.41,185.4
371,187.79,187.95,183.92
372,183.82,187.3,187.18
373,186.29,187.19,185.11
374,184.1,186.21,185.5
375,185.2278,187.28,184.16
376,182.99,186.53,184.43
377,183.4,184.92,182.17
378,186.12,186.15,184.92
379,187.25,188.35,185.46
380,186.35,187.2,186.5
381,185.14,186.33,185.69
382,187.88,189.22,188.74
383,190.03,190.16,188.84
384,191.55,191.57,190.8
385,192.42,192.88,190.7
386,191.385,192.611,192.28
387,191.35,191.97,191.23
388,191.17,192.0,191.7
389,194.14,194.2,193.46
390,193.63,194.08,193.98
391,193.065,193.94,193.31
392,191.635,193.42,191.83
393,187.9912,190.26,190.24
394,187.22,188.23,186.87
395,187.72,188.0,187.5
396,187.6,188.75,187.9
397,188.23,189.65,188.58
398,188.77,188.84,188.15
399,186.35,188.5,188.36
400,188.375,188.88,187.16
401,188.0,189.27,187.63
402,187.19,187.8102,186.31
403,188.0,188.91,186.99
404,186.07,188.46,188.18
405,186.78,187.07,186.44
406,189.01,189.53,188.15
407,189.49,190.06,188.59
408,187.74,190.37,190.04
409,186.55,187.4,187.36
410,184.99,186.22,186.05
411,185.18,187.67,185.16
412,178.25,184.25,183.83
413,175.88,177.5,176.89
414,175.225,177.75,176.57
415,166.4102,169.2,169.1
416,162.1302,167.26,165.26
417,164.0,164.33,162.32
418,164.12,165.73,164.22
419,162.62,165.42,163.65
420,165.67,166.33,162.94
421,166.8348,166.92,165.24
422,170.595,171.2184,165.72
423,174.95,175.39,172.8
424,177.81,178.82,177.84
425,176.49,178.9365,178.24
426,175.0301,176.19,175.82
427,174.78,175.84,174.73
428,173.41,175.0,174.14
429,172.23,173.9232,172.44
430,173.0,174.0,173.25
431,169.88,173.09,170.05
432,170.97,172.48,168.38
433,172.58,174.2304,172.8
434,164.88,172.01,171.61
435,167.64,168.7455,168.39
436,167.88,168.94,166.68
437,167.805,171.75,167.78
438,167.25,170.02,166.48
439,173.68,175.15,168.34
440,168.07,173.1,172.77
441,168.39,169.92,164.94
442,170.0,172.68,168.85
443,175.04,175.09,171.27
444,175.24,176.8,175.24
445,177.32,177.47,175.3
446,178.65,179.12,178.02
447,178.5,180.24,178.65
448,180.32,180.52,178.44
449,182.59,183.5,179.97
450,180.29,182.39,181.72
451,177.96,180.0,179.98
452,175.48,177.12,176.94
453,174.94,175.85,175.03
454,177.91,178.25,176.67
455,175.21,177.74,176.82
456,172.8,176.3,176.21
457,178.54,179.775,175.0
458,179.26,180.615,178.12
459,179.1,180.48,178.39
460,176.35,179.39,178.97
461,173.67,175.65,175.5
462,171.8,173.95,172.5
463,172.83,174.12,171.07
464,172.05,174.26,171.85
465,172.36,174.82,172.43
466,169.79,173.09,172.99
467,163.045,167.54,167.37
468,161.95,164.75,164.34
469,158.5,163.89,162.71
470,157.07,157.89,156.41
471,160.29,161.0,155.15
472,163.085,163.4,159.54
473,154.83,163.72,163.03
474,159.1,163.88,156.49
475,166.0,166.8,160.5
476,167.165,168.62,167.78
477,166.87,168.4417,167.43
478,165.525,167.37,166.97
479,170.16,170.16,167.96
480,172.0,172.0,171.51
481,174.505,174.95,171.11
482,177.25,177.3,174.22
483,177.3,179.44,177.04
484,177.3,177.78,177.0
485,178.61,179.58,178.46
486,179.37,180.1,179.26
487,176.15,179.25,179.1
488,177.9,179.39,176.19
489,176.18,177.36,177.09
490,174.59,175.4886,175.28
491,173.16,174.3,174.29
492,174.55,175.06,174.33
493,174.35,175.61,174.35
494,173.44,175.37,175.0
495,172.54,173.47,173.03
496,172.53,174.55,172.23
497,170.16,172.3,172.26
498,170.52,170.59,169.23
499,171.0,171.85,171.08
500,170.1,170.78,170.6
501,170.8,171.47,170.57
502,174.68,175.424,175.01
503,174.17,176.02,175.01
504,174.87,175.42,174.35
505,175.03,175.39,174.54
506,174.88,177.2,176.42
507,173.63,174.17,173.97
508,172.4,173.13,172.22
509,172.5,173.54,172.27
510,172.15,172.39,171.7
511,169.2,172.89,172.67
512,170.49,171.0,169.37
513,169.03,170.44,169.32
514,167.5,170.2047,169.01
515,169.06,171.52,169.64
516,172.48,172.62,169.8
517,169.95,171.67,171.05
518,170.43,172.14,171.85
519,172.63,172.92,169.48
520,174.3,174.87,173.07
521,175.05,175.08,174.09
522,175.1,175.5,174.97
523,173.36,175.0,174.96
524,170.78,173.7,173.14
525,170.29,170.56,169.98
526,171.04,171.39,170.15
527,171.18,171.87,171.1
528,169.97,170.3197,169.08
529,173.04,173.48,171.34
530,173.5,174.5,173.97
531,175.11,175.38,174.67
532,175.11,176.095,175.88
533,174.66,176.24,176.24
534,173.91,175.25,174.81
535,172.365,174.99,174.25
536,174.0,174.26,172.5
537,167.64,168.5,168.11
538,169.87,169.94,166.89
539,167.9,169.6499,169.04
540,163.89,168.07,166.72
541,159.29,163.6,163.05
542,157.23,157.8295,157.41
543,156.91,157.55,156.41
544,156.29,157.42,157.1
545,156.89,157.69,156.17
546,156.61,157.75,156.25
547,156.75,157.08,155.98
548,160.42,160.71,159.76
549,159.78,160.87,160.47
550,157.9,160.0,159.88
551,156.73,157.28,156.99
552,156.35,157.37,156.0
